RU;26;1775;TransparentCalls;0.62;865;21;34
US;63;1791;E-Voice;0.97;827;36;24
GB;41;845;TransparentCalls;0.92;838;60;10
FR;77;174;TransparentCalls;0.81;870;52;8
BL;64;98;E-Voice;0.94;727;89;47
AT;48;976;TransparentCalls;1.00;554;61;55
BG63;820;E-Voice;0.61;564;85;26
DK;16;1324;JustPhone;0.88;83;50;3
CA;82;1762;JustPhone;0.68;586;17;53
ES;23;181;E-Voice;0.86;240;9;54
CH;16;1594;JustPhone;0.95;27;45;46
TR;46;996;TransparentCalls;0.97;249;51;25
PE;0;129;JustPhone;0.86;233;23;12
NZ;53;1133;JustPhone;0.81;868;80;48
MC;5;849;E-Voice;0.94;561;37;23
